,director,films_count,popularity
1441,Nick Cassavetes,4,35.29643175
1100,Ken Kwapis,4,16.55858525
210,Brad Silberling,4,17.36840275
206,Brad Bird,4,86.78741324999999
205,Brad Anderson,4,23.06940125
179,Bille Woodruff,4,8.868407249999999
191,Bob Clark,4,9.62147525
1094,Keenen Ivory Wayans,4,19.948030250000002
1909,Terence Young,4,30.345762
238,Bruce Beresford,4,12.18261425
987,John Stockwell,4,9.70239525
957,John Hillcoat,3,28.355154333333335
801,James Gunn,3,75.968081
797,James Foley,3,9.293783666666668
794,James DeMonaco,3,63.70200666666667
1944,Todd Haynes,3,11.315968
1052,Joss Whedon,3,108.038933
792,James Cox,3,5.239551666666667
67,Anand Tucker,3,9.572987333333332
789,James Bobin,3,29.374831999999998
1341,Michael Lehmann,3,16.554410666666666
506,Dominic Sena,3,34.867697
509,Don Coscarelli,3,7.111995333333333
1600,Randal Kleiser,3,34.443555
511,Don Michael Paul,3,15.424285333333335
1764,Scott Cooper,3,30.992414
1338,Michael Hoffman,3,14.798170333333333
522,Douglas McGrath,3,5.803881333333334
1604,Rawson Marshall Thurber,3,62.274575
2045,Will Gluck,3,39.787204333333335
529,Duncan Jones,3,56.15386433333333
1950,Tom Dey,3,18.821062
1609,Reginald Hudlin,3,5.873126999999999
1337,Michael Haneke,3,16.757990666666668
215,Breck Eisner,3,34.36172033333333
741,Howard Deutch,3,15.570653666666665
1062,Julie Taymor,3,11.305235000000001
1484,Park Chan-wook,3,33.72018166666667
804,James L. Brooks,3,21.077335333333334
435,David Hand,3,53.566210000000005
1799,Shekhar Kapur,3,13.185771666666668
844,Jay Duplass,3,9.640356333333333
1458,Noah Baumbach,3,16.18126266666667
1489,Patricia Riggen,3,7.901608666666667
2029,Walter Salles,3,11.639517333333332
2030,Warren Beatty,3,5.661680333333334
1457,Nimród Antal,3,23.577843333333334
1454,Niki Caro,3,13.080592666666668
1112,Kevin Costner,3,26.446892333333334
1352,Michael Polish,3,4.595342666666666
826,Jane Campion,3,12.482624000000001
1197,Lloyd Kaufman,3,4.123072
464,David Slade,3,55.460617333333325
1408,Morgan Spurlock,3,6.345852333333333
78,Andrew Fleming,3,9.764858666666667
971,John Milius,3,16.787727333333333
1795,Shane Meadows,3,7.319490333333333
470,David Yates,3,73.25725033333333
300,Chris Rock,3,7.963417
472,Davis Guggenheim,3,7.446006333333334
1790,Shana Feste,3,13.989911999999999
1788,Seth MacFarlane,3,56.806699333333334
1787,Seth Gordon,3,34.605487333333336
139,Barbra Streisand,3,3.6931353333333337
484,Denis Villeneuve,3,55.068702
1620,Richard Benjamin,3,7.685211666666667
547,Eli Roth,3,25.807377666666664
548,Elia Kazan,3,12.093963666666667
678,Gina Prince-Bythewood,3,5.917472666666666
1430,Neil Marshall,3,22.553352333333333
33,Albert Hughes,3,20.639029
1654,Rob Bowman,3,24.942970000000003
2064,Wong Kar-wai,3,14.448604333333334
1429,Neil LaBute,3,8.900698333333333
682,Glenn Ficarra,3,39.096477666666665
1099,Kelly Reichardt,3,2.3789996666666666
1252,Mark Dindal,3,34.39538533333334
25,Alan Parker,3,11.452440000000001
609,Franklin J. Schaffner,3,9.186516
1427,Neil Burger,3,39.24956
1309,Mel Gibson,3,46.82120866666667
982,John Schlesinger,3,9.607704
1261,Mark Pellington,3,9.296051666666667
983,John Schultz,3,7.975522333333333
1668,Robert Altman,3,7.366483666666666
663,George Sidney,3,1.32018
190,Boaz Yakin,3,24.019881666666667
660,George P. Cosmatos,3,24.346902333333333
1088,Kathryn Bigelow,3,33.646355
1681,Robert Iscove,3,6.576911666666668
301,Chris Sanders,3,62.368859333333326
638,Gary Ross,3,34.98808566666667
648,Genndy Tartakovsky,3,39.943691333333334
1432,Neill Blomkamp,3,82.39158966666666
1708,Roger Kumble,3,18.591552
1623,Richard Curtis,3,47.63769933333334
1958,Tom Hooper,3,38.606305
731,Henry Joost,3,37.472788666666666
209,Brad Peyton,3,50.969934333333335
1631,Richard Kelly,3,30.721801000000003
2050,William Brent Bell,3,18.55911166666667
207,Brad Furman,3,24.57346
1134,King Vidor,3,3.0752703333333336
304,Chris Wedge,3,55.277168999999994
1729,Ruben Fleischer,3,37.127085
1636,Richard Loncraine,3,13.343331666666666
1641,Richard Shepard,3,8.037391666666666
1330,Michael Curtiz,3,16.925489666666667
1435,Nicholas Hytner,3,5.2992230000000005
1709,Roger Michell,3,22.910359333333336
1069,Justin Lin,3,26.963835666666668
1645,Rick Famuyiwa,3,14.010764666666667
1720,Ron Underwood,3,17.10523866666667
44,Alex Kendrick,3,5.5396019999999995
1716,Ron Clements,3,64.79523966666666
1237,Marc Lawrence,3,18.738765
1239,Marc Webb,3,74.91582866666667
584,Fernando Meirelles,3,27.546728666666667
694,Gregory Hoblit,3,15.393354666666667
1710,Roger Spottiswoode,3,23.437669333333332
692,Greg Mottola,3,32.18846033333333
1813,Simon Wells,3,22.602002
974,John Pasquin,3,13.829881
1355,Michael Ritchie,3,7.973080666666667
1834,Stephen Chow,3,14.526637666666666
1508,Paul Haggis,3,26.106994
1475,Olivier Megaton,3,57.32809000000001
347,Conrad Vernon,3,49.13316900000001
109,Anthony Minghella,3,28.45520466666667
932,John Boorman,3,7.918587
933,John Cameron Mitchell,3,9.731801666666668
399,Danny DeVito,3,10.948898
1922,Thomas Vinterberg,3,11.555156666666667
1919,Thomas Carter,3,13.500677333333334
1017,Jonathan Glazer,3,16.230988666666665
868,Jeff Wadlow,3,24.475842
1132,Kimberly Peirce,3,27.80275466666667
1503,Paul Feig,3,40.32660433333333
1923,Thor Freudenthal,3,24.87176
996,Jon Avnet,3,13.355151333333334
2019,Vincenzo Natali,3,26.50697033333333
1122,Kevin Rodney Sullivan,3,4.082497333333333
882,Jesse Dylan,3,18.899257666666667
1177,Leonard Nimoy,3,16.636094
1527,Pete Docter,3,109.22449033333332
116,Anton Corbijn,3,18.899274333333334
2010,Victor Fleming,3,38.97717866666667
276,Charles Martin Smith,3,8.282683
275,Charles Herman-Wurmfeld,3,3.095951000000001
899,Jim Sheridan,3,18.076614666666668
1471,Oliver Parker,3,15.809467333333332
1860,Steve Pink,3,20.791138333333333
908,Joe Carnahan,3,26.857156000000003
1512,Paul McGuigan,3,23.681381666666667
2012,Victor Salva,3,16.89582833333333
1845,Stephen T. Kay,3,5.571969
1378,Mike Binder,3,13.082103666666669
1004,Jon Knautz,3,3.990933333333333
1533,Peter Cattaneo,3,10.764627666666668
389,Daniel Espinosa,3,27.453844
1155,Lars von Trier,3,21.749092
1398,Mimi Leder,3,24.771607333333332
1171,Len Wiseman,3,59.92755066666667
905,Jodie Foster,3,18.719638333333332
855,Jean-Marie Poiré,3,10.673861
256,Carl Franklin,3,10.561530333333332
1184,Lewis Gilbert,3,28.578921666666663
137,Baltasar Kormákur,3,44.831098000000004
848,Jay Russell,3,6.930281
99,Angelina Jolie,3,19.530131666666666
1119,Kevin Macdonald,3,20.672853333333332
955,John Hamburg,3,19.940308
1979,Tony Gilroy,3,40.97606066666666
1362,Michael Tiddes,3,17.346012666666667
854,Jean-Marc Vallée,3,39.58357733333333
1397,Miloš Forman,3,61.26550566666666
1991,Trey Parker,3,19.590711333333335
990,John Waters,3,4.9666163333333335
1462,Nora Ephron,3,18.115289333333333
716,Harald Zwart,2,28.686713500000003
1166,Lee Daniels,2,25.384976
1494,Patrick Read Johnson,2,11.449392
917,Joe Swanberg,2,12.2154385
916,Joe Roth,2,9.9620475
699,Griffin Dunne,2,25.246502000000007
1323,Michael Cimino,2,12.583258000000004
1433,Nelson McCormick,2,8.7832345
914,Joe Nussbaum,2,11.2917735
1379,Mike Cahill,2,31.4790475
700,Guillaume Canet,2,14.0176825
1278,Martin McDonagh,2,28.817974
1131,Kim Jee-woon,2,27.8650905
1279,Martin Ritt,2,4.1130875
652,George Armitage,2,10.1073285
656,George Hickenlooper,2,8.973133
1401,Mitch Davis,2,2.09567
703,Gurinder Chadha,2,11.657257
1326,Michael Corrente,2,3.3588069999999997
1124,Kevin Spacey,2,4.263448
1067,Justin Chadwick,2,19.224563500000002
1163,Lawrence Guterman,2,18.275309500000002
1126,Kevin Tancharoen,2,8.8009945
655,George Gallo,2,1.741716
