,actor,popularity,rating,ROI,movies count
130,akosua busia,17.571533,6.570796290664653,875.28006,1
131,aksel hennie,20.821846,6.453116115557307,-26.065409944468204,1
132,akshay kumar,2.551559,6.263563912775553,611.1111111111111,1
133,al bandiero,0.500753,6.199682702789135,140.4400794714558,1
134,"al freeman,",19.822791,6.465961444677844,41.6762,1
135,al gore,14.139004000000002,6.302356073360905,4524.3,1
136,al pacino,36.73902042105263,6.571280131898996,338.86414048398194,19
137,alain goulem,0.143784,6.2043196772616085,-99.99119108248894,1
138,alain moussi,6.526587999999999,6.060196041290286,189.4289142317473,1
139,alakina mann,25.881355,6.937883856620863,193.94790887971416,1
140,alan alda,17.514264333333333,6.283901970830995,156.5477843044134,6
141,alan arkin,23.287440875,6.44157796676347,154.24111871083718,8
142,alan bates,3.3147900000000003,6.207823378501023,201.09864808932684,3
143,alan bean,3.4315900000000004,6.247238900501885,127.56181349927354,1
144,alan cox,8.321586,6.274909820412932,189.8872480773585,1
145,alan cumming,17.815595000000005,5.572381305073875,196.0084184721813,1
146,alan dale,14.562197,6.009392704128352,47.972672,1
147,alan grier,3.89204,6.183424446804564,100.0,1
148,alan rickman,27.868757,6.548165095764908,111.35785404761906,4
149,alan ritchson,143.350376,5.91602421363064,281.76,1
150,alan tudyk,53.747885,6.715721462543567,66.18786076923077,3
151,alan van,10.789912,6.047397299693429,162.62015477844363,1
152,alan webb,12.434688,6.233154138294073,174.30591501017773,1
153,alba rohrwacher,5.355763,6.252328808052126,193.94719879253074,1
154,alban david,0.3644699999999999,6.201959441596336,193.94716784221825,1
155,albert brooks,32.31047485714286,6.570126277212366,272.43684087607926,7
156,albert dupontel,32.476098,6.509738823326535,-99.9957250507219,1
157,albert finney,19.7716694,6.4709990558789725,866.9205978164779,5
158,albert hall,19.822791,6.465961444677844,41.6762,1
159,albert millaire,0.205034,6.212538044841718,193.94716964573368,1
160,alda teri,4.898437,6.190689415713998,193.94719296340506,1
161,alden ehrenreich,39.86378,5.919652183502237,94.69721196969697,2
162,aldo baglio,10.706613,6.3117702424139,-11.280918874848656,1
163,alec baldwin,22.43953343478261,6.340508664549235,167.74327984262328,23
164,alec guinness,19.543657,6.521403376447826,385.370390625,4
165,alec mccowen,10.219942,6.324060638611373,260.0,1
166,alec newman,8.30723,6.206350663995475,533.625,1
167,aleisha allen,13.590677,6.0321520467683225,205.995821875,1
168,aleisha force,0.397323,6.196646348617208,193.94716786473288,1
169,alejandro furth,3.215465,6.127298870083744,193.94719068169252,1
170,alejandro urdapilleta,0.6848810000000001,6.212891746643904,97.51185997702561,1
171,aleksandr bashirov,5.753564,6.208174765511829,-74.0,1
172,aleksandr chutko,3.120016,6.225815995822674,-81.2761,1
173,aleksandr robak,1.876621,6.2307225083341455,-78.99495379343216,1
174,aleksey chadov,7.182761,6.124500670332327,192.28427475245303,1
175,aleksia landeau,8.982335,6.221111843414281,-52.32833333333333,1
176,aleong jason,4.943588,6.167264376857625,178.98026408945535,1
177,alessandro gassman,47.5612,6.203631099688554,166.148871875,1
178,alessandro nivola,20.54478775,6.295830155671604,190.58168800745258,4
179,alessandro preziosi,7.720692,6.287384633084365,17.431642857142858,1
180,alex borstein,17.717681,6.329603364658002,680.0,1
181,alex briley,6.5742850000000015,6.196190039133652,193.94717019331006,1
182,alex d.,1.0818219999999998,6.182701063197173,44.103175,1
183,alex kendrick,4.492583000000001,6.225843193038608,4541.500090632787,3
184,alex lawther,0.42583,6.221907016424235,193.9471714425072,1
185,alex mcarthur,18.913,6.205494803901461,124.1773074074074,1
186,alex michaeletos,4.795244,6.233332036152647,185.99180389530162,1
187,alex o'loughlin,18.38292,6.053226294060039,121.36287999999999,1
188,alex pettyfer,29.388257999999997,6.137484607977589,532.4029288487394,5
189,alex reid,23.413188,6.4971607062980725,193.94761584810823,1
190,alex rocco,12.416335333333334,6.24100672695691,116.7114216891307,3
191,alex russell,64.504747,6.4618644058433965,866.6666666666666,1
192,alex veadov,14.518707999999998,6.276158231203597,161.5566,1
193,alex vincent,22.141205,6.177622454072771,283.0894602564103,2
194,alex winter,18.6397785,6.246815352880424,249.39884697549508,2
195,alexa nikolas,2.3918470000000003,6.15375023195806,-82.78600461374963,1
196,alexa penavega,13.1922075,6.026454042112655,201.45925710491136,6
197,alexander dipersia,48.170508,6.255330542194832,800.1435102040816,1
198,alexander godunov,66.169628,7.2284244200565295,402.7427,1
199,alexander gould,85.688789,7.396105026693047,900.3569531914893,1
200,alexander karim,10.48009,6.03481613993368,188.32908602814175,1
201,alexander ludwig,23.935053,5.976372836076035,112.60797600000001,1
202,alexander polinsky,6.003418,6.240823389758309,17.89467738613922,1
203,alexander pollock,18.735024,5.90418348890338,55.625251666666664,1
204,alexander scheer,1.138383,6.22969568312958,-95.15956111111112,1
205,alexander siddig,14.1606375,6.148823071669441,83.99262929753247,2
206,alexander skarsgård,29.988527600000005,6.035008504549161,-0.9453937056639269,5
207,alexander zale,4.192064,6.16684736255008,193.94718804051695,1
208,alexandra daddario,55.72388333333333,6.000862907199881,185.96835106060607,3
209,alexandra holden,3.199784,6.187788691797196,193.9471848808997,1
210,alexandra maria,19.540292000000004,6.6987566699770635,168.75069102442538,4
211,alexandra rapaport,21.826888,7.000994057381152,342.10526315789474,1
212,alexandra williams,9.590373,6.17302484216418,180.14916214869515,1
213,alexandre angelo,7.021871000000001,6.167410009830359,194.17202137404095,1
214,alexandre rodrigues,44.356711,7.406098202319321,828.5384848484849,1
215,alexandru potocean,9.270133,6.348644487099948,39.09314846746666,1
216,alexia rasmussen,1.50211,6.188525815295384,57.445740077333994,1
217,alexie gilmore,9.805551,6.249523432308506,-97.0425,1
218,alexis bledel,8.4013298,6.176113570943866,108.13275742401406,5
219,alexis dziena,20.452449,6.258408153563708,266.3770777777778,1
220,alexis georgoulis,5.787891,6.154009775362762,20.32515294117647,1
221,alexis kendra,1.273773,6.207238197773878,193.9471700915496,1
222,alexis smith,9.133747,6.317198729649334,-5.131058823529411,1
223,alf larsen,12.982319,6.383199786553911,18.847942857142858,1
224,alfie allen,10.314188999999999,6.142496975731472,102.39474654144958,2
225,alfre woodard,18.662158166666668,6.204937215515471,713.5365472492726,6
226,alfred abel,32.351527000000004,6.897284857318417,-99.29775210537682,1
227,alfred molina,22.297477083333334,6.253365871663893,148.2023135232684,12
228,ali cobrin,8.039223,6.1221144302027355,153.1600583147797,1
229,ali hazuki,6.9883570000000015,6.162502454453647,193.94719788785437,1
230,ali hillis,4.976268,6.248284797378137,193.94720101939848,1
231,ali kazim,1.7766240000000002,6.194967218342017,193.94717053888456,1
232,ali landry,1.814802,6.224071068484395,193.94718261986776,1
233,ali larter,19.418503,6.1359415402765745,189.76207882985614,5
234,ali suliman,37.507136,6.341987275805932,61.828711428571424,1
235,alia shawkat,21.692370666666665,6.255772578830335,37.680884444444445,3
236,alice braga,35.12026742857143,6.282654304960664,132.6880694838949,7
237,alice englert,21.569954,6.03833144976312,96.28545403992422,2
238,alice evans,9.895061,5.953019260045883,116.01384823529412,1
239,alice eve,16.238242333333332,6.125249377292401,115.96550641002398,3
240,alice faye,0.4839739999999999,6.199304215381191,100.0,1
241,alice hunter,8.039223,6.1221144302027355,153.1600583147797,1
242,alice krige,5.8940425,6.251351070830655,564.9230166295519,2
243,alice parkinson,20.063165,6.107894349490668,262.0310333333333,1
244,alice pol,11.60921,6.11259264585413,193.94725295449257,1
245,alicia mendez,0.595809,6.202153280838914,-2606.9708310350507,1
246,alicia silverstone,9.41647875,6.2387479641313055,108.83720414401324,4
247,alicia vikander,60.12422180000001,6.427605114411558,107.88974580350877,5
248,alicia witt,14.34301775,6.120891769986447,153.43417106337347,4
249,alicja bachleda-curuś,6.733135333333333,6.235115238606944,81.81277781990832,3
250,aliou touré,0.071349,6.206151523732196,-70.78160334263679,1
251,alisa khazanova,43.675191,6.149940271029493,651.3572705882353,1
252,alison barry,5.841285,6.228981703212115,-86.29370833333333,1
253,alison brie,36.69673433333333,6.052873944927701,151.62287539473684,3
254,alison doody,80.972475,7.251990778544155,887.8579291666666,1
255,alison eastwood,5.525544,6.219358120499203,-28.270699999999998,1
256,alison lohman,15.40054625,6.223762371137151,157.17967968121462,4
257,alison monda,0.595809,6.202153280838914,-2606.9708310350507,1
258,alison pill,7.424798,6.014764163212067,95.54045333333333,1
259,alistair mcgowan,5.787891,6.154009775362762,20.32515294117647,1
260,aliya ba,10.1449,6.24558381741932,47.375055555555555,1
261,allan corduner,8.628519,6.225815995822674,193.94718456459955,1
262,allan gildea,7.330691000000002,6.25500022796241,-95.85617844889062,1
263,allen covert,11.019130333333331,6.1220365103244205,36.4163243271228,3
264,allen danziger,29.262427,6.564430031367401,36204.705882352944,1
265,allen joseph,20.399578,6.615742834815985,69900.0,1
266,allen mario,14.725467000000002,5.755472510289697,-51.380863636363635,1
267,allen moazzam,0.7485649999999999,6.22616976558707,-72.53389999999999,1
268,allen payne,4.9872505,6.116216714386539,31.059113300492612,2
269,allison janney,46.36544933333334,6.193198364187054,336.60032027695536,6
270,allison miller,8.383645,6.048561949553522,307.21626428789875,2
271,allison paige,1.193219,6.2021451244721,127.56160399819143,1
272,allison tolman,29.406064999999998,6.275501154252942,694.9488866666668,2
273,allix david,14.331992,6.4755964161830475,-84.46166619148208,1
274,ally sheedy,13.1353175,6.337133643256245,239.80767916666667,2
275,allyson sereboff,3.905877,6.195751834502785,193.9471844437522,1
276,almani mojgan,1.193779,6.213556936684665,193.94717366913875,1
277,almeida cheech,25.511217,6.477713750099709,262.93492857142854,1
278,almeida daniela,0.910529,6.213179896808496,193.94716699785596,1
279,almeida henry,18.832471,6.259098364514302,248.2059951612903,1
280,alon friedman,1.49436,6.23333201069396,193.94717504237488,1
281,alonso barona,2.756435,6.227889843638717,3.3874546012634865,1
282,alonso yaphet,30.131498,6.284578009950108,41.19298148148148,1
283,alun armstrong,9.904881,6.162735582224374,-38.81681481481481,1
284,aly michalka,9.7619375,6.084289353939804,39.567341875000004,2
285,alyson hannigan,23.91728875,6.025286021982702,200.70200768181817,4
286,alyssa milano,9.782433,6.134057999533114,180.14902848738325,1
287,amalric adrien,74.417456,7.661997710799522,482.00106,1
