,title,release_date,popularity,ROI,rating,orginal_title,renew,reboot
267,Paul Blart,2015.0,41.258487,183.15063684210526,5.783961194460444,Paul Blart: Mall Cop 2,,0.0
268,Percy Jackson,2010.0,61.121717,138.4181147368421,6.071132435111941,Percy Jackson & the Olympians: The Lightning Thief,,0.0
269,Percy Jackson,2013.0,40.262261,93.97639,6.01959423700613,Percy Jackson: Sea of Monsters,,0.0
270,Pirates of the Caribbean,2003.0,198.372395,367.86516,7.331072215487559,Pirates of the Caribbean: The Curse of the Black Pearl,,0.0
271,Pirates of the Caribbean,2006.0,145.84737900000005,432.829906,6.867799436379056,Pirates of the Caribbean: Dead Man's Chest,,0.0
273,Pirates of the Caribbean,2007.0,139.082615,284.4,6.768948693953611,Pirates of the Caribbean: At World's End,,0.0
275,Pirates of the Caribbean,2011.0,135.413856,318.2855208,6.3662662973395365,Pirates of the Caribbean: On Stranger Tides,,0.0
276,Pitch Perfect,2012.0,32.746486,578.5319176470588,6.95200644569079,Pitch Perfect,,0.0
277,Pitch Perfect,2015.0,71.496894,891.4006689655173,6.591861288107872,Pitch Perfect 2,,0.0
278,Police Academy,1984.0,15.002502,3148.8643555555554,6.313962016611706,Police Academy,,0.0
279,Police Academy,1994.0,11.946898,-99.31935627195475,5.901844667298485,Police Academy: Mission to Moscow,,0.0
280,Predator,1987.0,50.009408,445.7530444444444,6.934955536570964,Predator,,0.0
281,Predator,1990.0,27.934978000000005,63.20090857142857,6.081272613169965,Predator 2,,0.0
287,Predator,2010.0,47.649554,215.62203250000002,6.096482824220983,Predators,,0.0
288,Punisher,2004.0,35.099611,65.75789393939394,6.162040336697433,The Punisher,,0.0
289,Punisher,2008.0,17.112498000000002,-50.78354634146341,6.074453312085221,Punisher: War Zone,,0.0
290,RED,2010.0,41.430245,23.56027931034483,6.49312214915566,RED,,0.0
291,RED,2013.0,44.34333,196.00865487450366,6.321453901957507,RED 2,,0.0
292,Rambo,1985.0,38.653969,582.7282545454545,6.249145899395265,Rambo: First Blood Part II,,0.0
293,Rambo,1988.0,31.294717,200.02477936507938,6.006129454852033,Rambo III,,0.0
294,Resident Evil,2002.0,40.715623,212.0753393939394,6.33504502454014,Resident Evil,,0.0
295,Resident Evil,2004.0,29.880122,187.54407777777777,6.148625486164237,Resident Evil: Apocalypse,,0.0
297,Resident Evil,2007.0,12.06538,229.80458888888887,6.148106426747455,Resident Evil: Extinction,,0.0
299,Resident Evil,2010.0,2.143764,400.38014000000004,5.977233838144442,Resident Evil: Afterlife,,0.0
301,Resident Evil,2012.0,6.227675,269.4757769230769,5.840628396770769,Resident Evil: Retribution,,0.0
302,Ride Along,2014.0,28.468000000000004,515.991276,6.159204020726504,Ride Along,,0.0
303,Ride Along,2016.0,25.136082,212.06829,6.1701964183442595,Ride Along 2,,0.0
304,Rio,2011.0,46.200042,438.4841777777778,6.4044357125132265,Rio,,0.0
305,Rio,2014.0,42.40024,385.6198398058253,6.252004561855295,Rio 2,,0.0
306,Rush Hour,2001.0,35.814765,285.91755777777774,6.303833294411853,Rush Hour 2,,0.0
307,Rush Hour,2007.0,22.57178,84.30159499999999,6.161464948959377,Rush Hour 3,,0.0
308,Saw,2004.0,63.655973,8559.30575,6.877694882944508,Saw,,0.0
309,Saw,2005.0,42.187986,3723.127325,6.257698935872463,Saw II,,0.0
311,Saw,2006.0,33.124871,1538.7681499999999,6.153118930430239,Saw III,,0.0
313,Saw,2007.0,29.244768,1293.5263300000001,6.06521518251026,Saw IV,,0.0
315,Saw,2008.0,32.943848,954.2364166666667,6.072548262803497,Saw V,,0.0
317,Saw,2009.0,31.900899,520.3057181818182,6.122835920678632,Saw VI,,0.0
319,Saw,2010.0,36.133536,580.75217,6.040261377214909,Saw: The Final Chapter,,0.0
320,Scary Movie,2001.0,35.37697100000001,213.8237288888889,5.817158096182352,Scary Movie 2,,0.0
321,Scary Movie,2003.0,36.585509,359.73586875,6.017974134272446,Scary Movie 3,,0.0
323,Scary Movie,2006.0,32.549282,296.1391555555556,5.829258473023632,Scary Movie 4,,0.0
325,Scary Movie,2013.0,36.819044,291.89372,5.515716359979673,Scary Movie 5,,0.0
326,Scooby-Doo,2002.0,31.435539,228.1555988095238,5.8532969259051,Scooby-Doo,,0.0
327,Scooby-Doo,2004.0,22.644275,264.17675291055497,5.946880807382282,Scooby-Doo 2: Monsters Unleashed,,0.0
328,Scream,1996.0,45.99611,1136.047592857143,6.670492973651044,Scream,,0.0
329,Scream,1997.0,35.244037,618.1804208333333,6.159611244149491,Scream 2,,0.0
331,Scream,2000.0,24.992057,304.58569,5.998244821636359,Scream 3,,0.0
332,Sherlock Holmes,2009.0,57.834787,482.2540877777778,6.87788516012948,Sherlock Holmes,,0.0
333,Sherlock Holmes,2011.0,81.49962099999998,167.692,6.831374645754161,Sherlock Holmes: A Game of Shadows,,0.0
334,Shrek,2001.0,67.298732,707.3486966666667,7.075296758997755,Shrek,,0.0
335,Shrek,2004.0,47.320801,513.2258386666667,6.571883420367147,Shrek 2,,0.0
337,Shrek,2007.0,42.986467,399.348853125,6.0654042221882625,Shrek the Third,,0.0
339,Shrek,2010.0,44.041186,356.1217375757576,6.0723380696053635,Shrek Forever After,,0.0
340,Silent Hill,2006.0,32.927994,95.214906,6.254022320001198,Silent Hill,,0.0
341,Silent Hill,2012.0,23.292761,161.51398,5.855374663591457,Silent Hill: Revelation 3D,,0.0
342,Sin City,2005.0,66.003433,296.83455,6.9213753679343855,Sin City,,0.0
343,Sin City,2014.0,85.428395,-39.37289846153846,6.258332727501086,Sin City: A Dame to Kill For,,0.0
344,Sinister,2012.0,41.045084,2490.4146333333333,6.502769825178245,Sinister,,0.0
345,Sinister,2015.0,26.090495,428.82018000000005,5.919721184207565,Sinister 2,,0.0
346,Speed,1994.0,49.526736,1068.1604833333333,6.580326597755926,Speed,,0.0
347,Speed,1997.0,23.336875,2.81754125,5.591014320379068,Speed 2: Cruise Control,,0.0
348,Spider-Man,2002.0,82.502566,491.15723093525185,6.701451346230014,Spider-Man,,0.0
349,Spider-Man,2004.0,35.149586,291.8831705,6.603679994683027,Spider-Man 2,,0.0
351,Spider-Man,2007.0,115.699814,256.3486504,5.969750378608418,Spider-Man 3,,0.0
353,Spider-Man,2012.0,89.866276,249.86784046511627,6.459751866349206,The Amazing Spider-Man,,0.0
355,Spider-Man,2014.0,89.270217,252.858716,6.441224947684555,The Amazing Spider-Man 2,,0.0
356,Spy Kids,2001.0,21.543389,322.6690857142857,5.887410146814052,Spy Kids,,0.0
357,Spy Kids,2002.0,24.085144,215.06146842105264,5.906406907347255,Spy Kids 2: The Island of Lost Dreams,,0.0
359,Spy Kids,2003.0,21.998734,418.45258421052637,5.713879084844676,Spy Kids 3-D: Game Over,,0.0
361,Spy Kids,2011.0,14.788073,216.90485185185184,5.891875197674951,Spy Kids: All the Time in the World,,0.0
362,Star Trek,1979.0,24.616634,297.14285714285717,6.204851424963632,Star Trek: The Motion Picture,,0.0
363,Star Trek,1982.0,22.434102,706.6666666666666,6.634878406633355,Star Trek II: The Wrath of Khan,,0.0
365,Star Trek,1984.0,15.314027,383.33333333333337,6.263655829813031,Star Trek III: The Search for Spock,,0.0
367,Star Trek,1986.0,22.258428,454.1666666666667,6.423683858181099,Star Trek IV: The Voyage Home,,0.0
369,Star Trek,1989.0,19.578249,134.0,6.047170583059283,Star Trek V: The Final Frontier,,0.0
371,Star Trek,1991.0,16.188572,258.8888888888889,6.346387731676376,Star Trek VI: The Undiscovered Country,,0.0
372,Star Trek,1994.0,14.779041,215.78947368421052,6.265289781253355,Star Trek: Generations,,5.0
373,Star Trek,1996.0,25.6713,226.08695652173913,6.51353901311662,Star Trek: First Contact,,5.0
375,Star Trek,1998.0,19.71195100000001,68.57142857142857,6.232453332021192,Star Trek: Insurrection,,5.0
377,Star Trek,2002.0,21.605533,12.188043333333333,6.173685579753132,Star Trek: Nemesis,,5.0
378,Star Trek,2009.0,73.61680799999998,157.12029733333333,7.175083558089536,Star Trek,,8.0
379,Star Trek,2013.0,78.29101800000002,145.98170842105262,7.1709702361818835,Star Trek Into Darkness,,8.0
381,Star Trek,2016.0,65.352913,85.66044108108109,6.4860324078061184,Star Trek Beyond,,8.0
382,Star Wars,1977.0,126.393695,6949.072790909091,7.84103013440742,Star Wars,,0.0
383,Star Wars,1999.0,54.035265,703.7543982608696,6.282244664619215,Star Wars: Episode I - The Phantom Menace,,0.0
385,Star Wars,2002.0,43.987061,441.1652733333334,6.35987014110324,Star Wars: Episode II - Attack of the Clones,,0.0
387,Star Wars,2005.0,44.108427,652.2123893805309,6.918556959241683,Star Wars: Episode III - Revenge of the Sith,,0.0
388,Step Up,2006.0,45.477802,851.6237249999999,6.4548176547121034,Step Up,,0.0
389,Step Up,2008.0,28.973074,555.7247826086956,6.3181451191967675,Step Up 2: The Streets,,0.0
391,Step Up,2010.0,25.060342,430.9726966666667,6.347343904070183,Step Up 3D,,0.0
392,Stuart Little,1999.0,30.475297,125.66568947368421,6.012874689617988,Stuart Little,,0.0
393,Stuart Little,2002.0,27.99028400000001,41.63067166666667,5.909720536044821,Stuart Little 2,,0.0
394,Superman,1978.0,48.507081,445.8509418181818,6.548969715947171,Superman,,0.0
395,Superman,1980.0,30.515175,252.70130740740743,6.316953693533376,Superman II,,0.0
397,Superman,1983.0,22.164202,94.48877948717949,5.9186137996380115,Superman III,,0.0
399,Superman,1987.0,17.062117,13.529411764705882,5.717445359241622,Superman IV: The Quest for Peace,,0.0
401,Superman,2006.0,57.925623,56.432476799999996,5.745985816915322,Superman Returns,,0.0
404,Taken,2008.0,80.879032,807.322272,7.007651827171533,Taken,,0.0
405,Taken,2012.0,49.353524,735.8695688888889,6.129594234684144,Taken 2,,0.0
407,Taken,2014.0,88.84477700000002,578.6904666666667,6.134666231213089,Taken 3,,0.0
408,Ted,1989.0,25.929893,304.85039,6.356027427820836,Bill & Ted's Excellent Adventure,,0.0
409,Ted,1991.0,11.349664,193.94730395099012,6.137603277940013,Bill & Ted's Bogus Journey,,0.0
410,Ted,2012.0,68.87691,998.73663,6.283063381145387,Ted,,1.0
411,Ted,2015.0,68.734513,219.15086470588236,6.202181967390418,Ted 2,,1.0
